problemDowntime;Problem MM;reasonDowntime;actionDowtime;System
MARGIN JAHITAN TIDAK KONSISTEN;MACHINE BREAKDOWN;OSSAY KENDUR;KENCANGKAN OSSAY;STITCHING
MARGIN JAHITAN TIDAK KONSISTEN;MACHINE BREAKDOWN;OSSAY NGAMBANG;SETTING OSSAY;STITCHING
MARGIN JAHITAN TIDAK KONSISTEN;MACHINE BREAKDOWN;SETTINGAN CORONG DEPO TIDAK SESUAI;GANTI CORONG DEPO;STITCHING
MATI LAMPU;POWER SUPPLY PROBLEM;BANJIR;GAK USAH DIISI/BANJIR KADANG-KADANG;FACILITIES
MESIN (BIOGENIC) MACET (BIO MAMPET);MACHINE BREAKDOWN;SELANG TERSUMBAT KOTORAN;BERSIHKAN KOTORAN YANG ADA DISELANG;PNEUMATIC
MESIN TIDAK BERFUNGSI;MACHINE BREAKDOWN;ANGLE MOTOR ERROR;SETTING ANGLE MOTOR;MECHANICAL
MESIN TIDAK BERFUNGSI;MACHINE BREAKDOWN;BAHAN / MATERIAL TERSANGKUT CONVEYOR;AMBIL BAHAN / MATERIAL DARI CONVEYOR;MECHANICAL
MESIN TIDAK BERFUNGSI;MACHINE BREAKDOWN;BAHAN / MATERIAL TERSANGKUT CONVEYOR;MATIKAN MESIN, AMBIL SESPATU YANG TERJATUH, PERBAIKI RAK YAN;MECHANICAL
MESIN TIDAK BERFUNGSI;MACHINE BREAKDOWN;BAR AS RANTAI PATAH;SERVICE / PERBAIKAN AS RANTAI;MECHANICAL
MESIN TIDAK BERFUNGSI;MACHINE BREAKDOWN;BAR RONTOK;PASANG KEMBALI BAR 2 DAN 1 ROLL SAMBUNGAN;MECHANICAL
MESIN TIDAK BERFUNGSI;MACHINE BREAKDOWN;BAR RONTOK;SERVICE RANTAI;MECHANICAL
MESIN TIDAK BERFUNGSI;MACHINE BREAKDOWN;BAR RONTOK;PASANG BAR;MECHANICAL
MESIN TIDAK BERFUNGSI;MACHINE BREAKDOWN;BAUT ADJUSTING AUS;GANTI BAUT ADJUSTING;MECHANICAL
MESIN TIDAK BERFUNGSI;MACHINE BREAKDOWN;BAUT GEAR KENDOR;SETTING GEAR RANTAI;MECHANICAL
MESIN TIDAK BERFUNGSI;MACHINE BREAKDOWN;BAUT GEAR RUSAK/PATAH;GANTI BAUT GEAR;MECHANICAL
MESIN TIDAK BERFUNGSI;MACHINE BREAKDOWN;BAUT MAIN SHAPE PATAH;GANTI DAN PASANG KEMBALI BAUT MAIN SHAPE;MECHANICAL
MESIN TIDAK BERFUNGSI;MACHINE BREAKDOWN;BAUT PIN PATAH;GANTI DAN KENCANGKAN BAUT PIN;MECHANICAL
MESIN TIDAK BERFUNGSI;MACHINE BREAKDOWN;BAUT SLIDING FRAME PATAH;GANTI BAUT SLIDING FRAME;MECHANICAL
MESIN TIDAK BERFUNGSI;MACHINE BREAKDOWN;BAUT STOPER LEPAS / KENDOR;SETTING / PASANG DAN KENCANGKAN BAUT;MECHANICAL
MESIN TIDAK BERFUNGSI;MACHINE BREAKDOWN;BAUT STOPER ROLL PATAH;GANTI BAUT STOPER ROLL;MECHANICAL
MESIN TIDAK BERFUNGSI;MACHINE BREAKDOWN;BEARING PECAH / RUSAK;GANTI BEARING;MECHANICAL
MESIN TIDAK BERFUNGSI;MACHINE BREAKDOWN;BEARING RUSAK;GANTI BEARING;MECHANICAL
MESIN TIDAK BERFUNGSI;MACHINE BREAKDOWN;BEARING RUSAK;SERVICE BEARING;MECHANICAL
MESIN TIDAK BERFUNGSI;MACHINE BREAKDOWN;BELT PUTUS / SOBEK;GANTI  BELT CONVEYOR;MECHANICAL
MESIN TIDAK BERFUNGSI;MACHINE BREAKDOWN;BREAK REM RUSAK;SERVICE / SETTING ULANG BREAK REM;MECHANICAL
MESIN TIDAK BERFUNGSI;MACHINE BREAKDOWN;BREAKER RUSAK;GANTI BREAKER BARU;ELECTRICAL
MESIN TIDAK BERFUNGSI;MACHINE BREAKDOWN;BREAKER RUSAK;GANTI BREAKER;ELECTRICAL
MESIN TIDAK BERFUNGSI;MACHINE BREAKDOWN;CARBON DRASS RUSAK HABIS / RUSAK;GANTI CARBON DRASS;ELECTRICAL
MESIN TIDAK BERFUNGSI;MACHINE BREAKDOWN;COIL SOLENOID TERBAKAR;GANTI COIL SOLENOID;ELECTRICAL
MESIN TIDAK BERFUNGSI;MACHINE BREAKDOWN;COIL SOLENOID TERBAKAR;MENGGANTI COIL SOLENOID;ELECTRICAL
MESIN TIDAK BERFUNGSI;MACHINE BREAKDOWN;CONCENT TERBAKAR;GANTI CONCENT;ELECTRICAL
MESIN TIDAK BERFUNGSI;MACHINE BREAKDOWN;DRAT BAUT FAN BLOWER RUSAK;PEMBUATAN DRAT BARU;ELECTRICAL
MESIN TIDAK BERFUNGSI;MACHINE BREAKDOWN;EMERGENCY SWITCH BUTTON RUSAK;GANTI EMERGENCY SWITCH BUTTON;ELECTRICAL
MESIN TIDAK BERFUNGSI;MACHINE BREAKDOWN;EMERGENCY SWITCH RUSAK;GANTI EMERGENCY SWITCH;ELECTRICAL
MESIN TIDAK BERFUNGSI;MACHINE BREAKDOWN;EMERGENCY SWITCH RUSAK;SERVICE EMERGENCY SWITCH;ELECTRICAL
MESIN TIDAK BERFUNGSI;MACHINE BREAKDOWN;ENCODER RUSAK / KENDOR;KENCANGKAN BAUT JOINT COUPLING ENCODER;ELECTRICAL
MESIN TIDAK BERFUNGSI;CONVEYOR BELT CHANGEOVER;EXTERNAL BELT KENDUR;SETTING EXTERNAL BELT;MECHANICAL
MESIN TIDAK BERFUNGSI;MACHINE BREAKDOWN;FITTING HOSE RUSAK;GANTI FITTING HOSE;ELECTRICAL
MESIN TIDAK BERFUNGSI;MACHINE BREAKDOWN;FITTING HOUSE RUSAK;GANTI FITTING HOUSE;ELECTRICAL
MESIN TIDAK BERFUNGSI;MACHINE BREAKDOWN;FOOT SWITCH RUSAK;GANTI FOOT SWITCH;ELECTRICAL
MESIN TIDAK BERFUNGSI;MACHINE BREAKDOWN;FUSE PUTUS / RUSAK;GANTI FUSE;ELECTRICAL
MESIN TIDAK BERFUNGSI;KABEL PUTUS;GANTI KABEL SENSOR DAN PASANG SENSOR;RE-SETTING SENSOR;AUTOMATION
MESIN TIDAK BERFUNGSI;MACHINE BREAKDOWN;GEAR BOX RUSAK / MACET;GANTI GEAR BOX;MECHANICAL
MESIN TIDAK BERFUNGSI;MACHINE BREAKDOWN;GEAR BOX WASHING RUSAK;SERVICE GEAR BOX;MECHANICAL
MESIN TIDAK BERFUNGSI;MACHINE BREAKDOWN;GEAR CONVEYOR LEPAS / RUSAK;PASANG GEAR;MECHANICAL
MESIN TIDAK BERFUNGSI;MACHINE BREAKDOWN;GUIDE LAYER PATAH / RUSAK;PENGELASAN GUIDE LAYER;ELECTRICAL
MESIN TIDAK BERFUNGSI;MACHINE BREAKDOWN;HANDLES MOLD PATAH;PENGELASAN HANDLES MOLD;ELECTRICAL
MESIN TIDAK BERFUNGSI;MACHINE BREAKDOWN;INJEKTOR GOYANG;SETTING DAN KENCANGKAN INJEKTOR;PNEUMATIC
MESIN TIDAK BERFUNGSI;MACHINE BREAKDOWN;INVENTER ERROR/RUSAK;GANTI INVENTER;ELECTRICAL
MESIN TIDAK BERFUNGSI;MACHINE BREAKDOWN;INVERTER RUSAK/ERROR;GANTI INVERTER;ELECTRICAL
MESIN TIDAK BERFUNGSI;MACHINE BREAKDOWN;INVERTER RUSAK/ERROR;SERVICE INVENTER;ELECTRICAL
MESIN TIDAK BERFUNGSI;MACHINE BREAKDOWN;JOIN COUPLING RUSAK;GANTI JOIN COUPLING;MECHANICAL
MESIN TIDAK BERFUNGSI;MACHINE BREAKDOWN;KABEL CONNECTOR HEAD PUTUS;PASANG KABEL CONNECTOR HEAD;ELECTRICAL
MESIN TIDAK BERFUNGSI;MACHINE BREAKDOWN;KABEL INSTRUMENT / ELECTRICAL PUTUS;SAMBUNG KABEL INSTRUMENT / ELECTRICAL;ELECTRICAL
MESIN TIDAK BERFUNGSI;MACHINE BREAKDOWN;KABEL LEGRAN (POWER) KENDOR / LEPAS;MENGENCANGKAN KABEL LEGRAN (POWER);ELECTRICAL
MESIN TIDAK BERFUNGSI;MACHINE BREAKDOWN;KABEL POWER PUTUS;GANTI KABEL POWER;ELECTRICAL
MESIN TIDAK BERFUNGSI;MACHINE BREAKDOWN;KABEL POWER PUTUS;SAMBUNG KABEL POWER;ELECTRICAL
MESIN TIDAK BERFUNGSI;MACHINE BREAKDOWN;KABEL PUTUS;GANTI KABEL SENSOR DAN PASANG SENSOR;ELECTRICAL
MESIN TIDAK BERFUNGSI;MACHINE BREAKDOWN;KABEL PUTUS;SAMBUNG KABEL DAN GANTI POTENSIO CONVEYOR;MECHANICAL
MESIN TIDAK BERFUNGSI;POWER SUPPLY PROBLEM;KABEL PUTUS;SAMBUNG KABEL;ELECTRICAL
MESIN TIDAK BERFUNGSI;MACHINE BREAKDOWN;KABEL PUTUS;CEK KABEL DAN SETTING CONVEYOR;ELECTRICAL
MESIN TIDAK BERFUNGSI;MACHINE BREAKDOWN;KABEL PUTUS;SAMBUNG DAN SETTING KABEL MESIN;ELECTRICAL
MESIN TIDAK BERFUNGSI;MACHINE BREAKDOWN;KABEL PUTUS;GANTI KABEL;ELECTRICAL
MESIN TIDAK BERFUNGSI;MACHINE BREAKDOWN;KABEL PUTUS;SAMBUNG / KONEC KABEL;ELECTRICAL
MESIN TIDAK BERFUNGSI;MACHINE BREAKDOWN;KABEL PUTUS;KABEL SENSOR TERJEPIT\ CONNECT KABEL SENSOR;MECHANICAL
MESIN TIDAK BERFUNGSI;MACHINE BREAKDOWN;KABEL SENSOR PINTU PUTUS;SAMBUNG KABEL SENSOR;ELECTRICAL
MESIN TIDAK BERFUNGSI;MACHINE BREAKDOWN;KERANJANG CONVEYOR MIRING;SETTING / ADJUST ULANG CONVEYOR;MECHANICAL
MESIN TIDAK BERFUNGSI;MACHINE BREAKDOWN;KONTAKTOR RUSAK;GANTI KONTAKTOR;ELECTRICAL
MESIN TIDAK BERFUNGSI;MACHINE BREAKDOWN;LAMPU UV MATI;GANTI LAMPU UV;ELECTRICAL
MESIN TIDAK BERFUNGSI;MACHINE BREAKDOWN;LAYER PATAH;PENGELASAN LAYER;PNEUMATIC
MESIN TIDAK BERFUNGSI;MACHINE BREAKDOWN;LIMIT SWITCH RUSAK;SERVICE/PERBAIKAN LIMIT SWITCH;ELECTRICAL
MESIN TIDAK BERFUNGSI;MACHINE BREAKDOWN;LIMIT SWITCH RUSAK/ERROR;GANTI LIMIT SWITCH;ELECTRICAL
MESIN TIDAK BERFUNGSI;MACHINE BREAKDOWN;MAGNETIC CONTACTOR KEBAKAR/RUSAK;GANTI MAGNETIC CONTACTOR;ELECTRICAL
MESIN TIDAK BERFUNGSI;MACHINE BREAKDOWN;MAGNETIC CONTACTOR RUSAK;GANTI MAGNETIC CONTACTOR BARU;ELECTRICAL
MESIN TIDAK BERFUNGSI;MACHINE BREAKDOWN;MAGNETIC CONTACTOR RUSAK (SHORT / ERROR);GANTI CONTACTOR;ELECTRICAL
MESIN TIDAK BERFUNGSI;MACHINE BREAKDOWN;MCB RUSAK/TRBAKAR;GANTI MCB;ELECTRICAL
MESIN TIDAK BERFUNGSI;MACHINE BREAKDOWN;MEJA LIFTER PATAH;PENGELASAN MEJA LIFTER;ELECTRICAL
MESIN TIDAK BERFUNGSI;MACHINE BREAKDOWN;METAL LIFTER PATAH;PENGELASAN METAL LIFTER;ELECTRICAL
MESIN TIDAK BERFUNGSI;MACHINE BREAKDOWN;MOTOR TERBAKAR;GANTI MOTOR;MECHANICAL
MESIN TIDAK BERFUNGSI;MACHINE BREAKDOWN;NET CONVEYOR NYANGKUT;SERVICE DAN SETTING ULANG CONVEYOR;MECHANICAL
MESIN TIDAK BERFUNGSI;MACHINE BREAKDOWN;NET CONVEYOR PUTUS;GANTI NET CONVEYOR;MECHANICAL
MESIN TIDAK BERFUNGSI;MACHINE BREAKDOWN;NET CONVEYOR TERSANGKUT / RUSAK;SETTING ULANG NET CONVEYOR;MECHANICAL
MESIN TIDAK BERFUNGSI;MACHINE BREAKDOWN;NOZZEL SPRAY BOCOR;GANTI NOZZEL SPRAY;PNEUMATIC
MESIN TIDAK BERFUNGSI;MACHINE BREAKDOWN;PANEL SHORT;SERVICE PANEL;ELECTRICAL
MESIN TIDAK BERFUNGSI;MACHINE BREAKDOWN;PCB RUSAK/ERROR;GANTI PCB;ELECTRICAL
MESIN TIDAK BERFUNGSI;MACHINE BREAKDOWN;PCB RUSAK/ERROR;SERVICE PCB;ELECTRICAL
MESIN TIDAK BERFUNGSI;MACHINE BREAKDOWN;PELUMAS BEARING KERING (TERBAKAR / ASAP);GANTI BEARING;MECHANICAL
MESIN TIDAK BERFUNGSI;MACHINE BREAKDOWN;PHOTO SENSOR RUSAK;GANTI PHOTO SENSOR;ELECTRICAL
MESIN TIDAK BERFUNGSI;MACHINE BREAKDOWN;PISAU TUMPUL / RUSAK;SERVICE PISAU;MECHANICAL
MESIN TIDAK BERFUNGSI;MACHINE BREAKDOWN;PLC ERROR;GANTI PLC (47979,45428);ELECTRICAL
MESIN TIDAK BERFUNGSI;MACHINE BREAKDOWN;PLC ERROR / RUSAK;GANTI PLC;ELECTRICAL
MESIN TIDAK BERFUNGSI;MACHINE BREAKDOWN;PLC ERROR / RUSAK;SETTING PLC;ELECTRICAL
MESIN TIDAK BERFUNGSI;MACHINE BREAKDOWN;POMPA AIR SIRKULASI MACET;SERVICE POMPA AIR;MECHANICAL
MESIN TIDAK BERFUNGSI;MACHINE BREAKDOWN;POTENSIO ERROR / RUSAK;GANTI POTENSIO;ELECTRICAL
MESIN TIDAK BERFUNGSI;MACHINE BREAKDOWN;POWER LISTRIK KURANG (SPANING);BERBAIKI SUMBER POWER;ELECTRICAL
MESIN TIDAK BERFUNGSI;MACHINE BREAKDOWN;POWER SUPLAY RUSAK;GANTI POWER SUPLAY;ELECTRICAL
MESIN TIDAK BERFUNGSI;MACHINE BREAKDOWN;PROXIMITY SENSOR MATI;GANTI PROXIMITY SENSOR;ELECTRICAL
MESIN TIDAK BERFUNGSI;MACHINE BREAKDOWN;PULLEY LEPAS;SERVICE DAN PASANG KEMBALI PULLEY;MECHANICAL
MESIN TIDAK BERFUNGSI;MACHINE BREAKDOWN;PUSH BUTTOM RUSAK;GANTI PUSH BUTTOM;ELECTRICAL
MESIN TIDAK BERFUNGSI;MACHINE BREAKDOWN;PUSH BUTTOM RUSAK / LEPAS;SERVICE / PERBAIKAN PUSH BUTTOM;ELECTRICAL
MESIN TIDAK BERFUNGSI;MACHINE BREAKDOWN;PUSH BUTTON PECAH/RUSAK;GANTI TOMBOL PUSH BUTTON;ELECTRICAL
MESIN TIDAK BERFUNGSI;MACHINE BREAKDOWN;PUSH BUTTON SWITCH RUSAK;GANTI PUSH BUTTON SWITCH;ELECTRICAL
MESIN TIDAK BERFUNGSI;MACHINE BREAKDOWN;RANTAI CONVEYOR PUTUS;SAMBUNG DAN SETTING CONVEYOR;MECHANICAL
MESIN TIDAK BERFUNGSI;MACHINE BREAKDOWN;RANTAI CONVEYOR PUTUS;SERVICE RANTAI;MECHANICAL
MESIN TIDAK BERFUNGSI;MACHINE BREAKDOWN;RANTAI MESIN TRAVELING HEAD CUTTING PUTUS/KENDOR;SERVICE DAN SETTING RANTAI;MECHANICAL
MESIN TIDAK BERFUNGSI;MACHINE BREAKDOWN;RANTAI NYANGKUT;SERVICE REL CONVEYOR;MECHANICAL
MESIN TIDAK BERFUNGSI;MACHINE BREAKDOWN;RANTAI PUTUS;SAMBUNG RANTAI;MECHANICAL
MESIN TIDAK BERFUNGSI;MACHINE BREAKDOWN;RANTAI PUTUS;GANTI DAN SETTING RANTAI;MECHANICAL
MESIN TIDAK BERFUNGSI;MACHINE BREAKDOWN;REL PATAH;PENGELASAN REL;ELECTRICAL
MESIN TIDAK BERFUNGSI;MACHINE BREAKDOWN;RELAY BERKERAK (GOSONG / TERBAKAR);BERSIHKAN (AMPLAS) KERAK PADA RELAY;ELECTRICAL
MESIN TIDAK BERFUNGSI;MACHINE BREAKDOWN;RELAY KENDOR;KENCANGKAN RELAY;ELECTRICAL
MESIN TIDAK BERFUNGSI;MACHINE BREAKDOWN;RELAY RUSAK / TERBAKAR;GANTI RELAY;ELECTRICAL
MESIN TIDAK BERFUNGSI;MACHINE BREAKDOWN;RELAY RUSAK / TERBAKAR;BERSIHKAN KERAK RELAY;ELECTRICAL
MESIN TIDAK BERFUNGSI;MACHINE BREAKDOWN;RELAY RUSAK/TERBAKAR;SERVICE/AMPLAS RELAY;ELECTRICAL
MESIN TIDAK BERFUNGSI;MACHINE BREAKDOWN;RELAY RUSAK/TERBAKAR;SERVICE RELAY;ELECTRICAL
MESIN TIDAK BERFUNGSI;MACHINE BREAKDOWN;RELAY TERBAKAR/RUSAK;MEMBERSIHKAN KERAK DALAM RELLAY (MENGAMPLAS);ELECTRICAL
MESIN TIDAK BERFUNGSI;MACHINE BREAKDOWN;RING SCREW PECAH;GANTI RING SCREW;ELECTRICAL
MESIN TIDAK BERFUNGSI;MACHINE BREAKDOWN;ROLL MIXING MACET;SETTING DAN ADJUST DUDUKAN ROLL;MECHANICAL
MESIN TIDAK BERFUNGSI;MACHINE BREAKDOWN;RUBBER COPLING RUSAK;GANTI HAMMER URETHANE BARU;MECHANICAL
MESIN TIDAK BERFUNGSI;MACHINE BREAKDOWN;RUBBER PECAH;GANTI RUBBER;MECHANICAL
MESIN TIDAK BERFUNGSI;MACHINE BREAKDOWN;SAFETY GUARDING RUSAK / PATAH;SERVICE/PENGELASAN SAFETY GUARDING;MECHANICAL
MESIN TIDAK BERFUNGSI;MACHINE BREAKDOWN;SELANG (TUBE) ANGIN PECAH;GANTI SELANG (TUBE);PNEUMATIC
MESIN TIDAK BERFUNGSI;MACHINE BREAKDOWN;SELANG ANGIN PECAH / BOCOR;GANTI SELANG (TUBE);PNEUMATIC
MESIN TIDAK BERFUNGSI;MACHINE BREAKDOWN;SELANG BOCOR;GANTI SELANG;PNEUMATIC
MESIN TIDAK BERFUNGSI;MACHINE BREAKDOWN;SELANG COMPOUND PUTUS/BOCOR;GANTI SELANG COMPOUND;PNEUMATIC
MESIN TIDAK BERFUNGSI;MACHINE BREAKDOWN;SELANG OLI MAINSHAFT PECAH;GANTI SELANG OLI MAINSHAFT;MECHANICAL
MESIN TIDAK BERFUNGSI;MACHINE BREAKDOWN;SELECTOR SWITCH RUSAK / PATAH;GANTI SELECTOR SWITCH;ELECTRICAL
MESIN TIDAK BERFUNGSI;MACHINE BREAKDOWN;SENSOR ERROR/RUSAK;GANTI SENSOR;ELECTRICAL
MESIN TIDAK BERFUNGSI;MACHINE BREAKDOWN;SENSOR ERROR/RUSAK;GANTI SENSOR;MECHANICAL
MESIN TIDAK BERFUNGSI;MACHINE BREAKDOWN;SENSOR MESIN ERROR;SETTING SENSOR;ELECTRICAL
MESIN TIDAK BERFUNGSI;MACHINE BREAKDOWN;SENSOR SWITCH ERROR;SETTING SENSOR SWITCH;ELECTRICAL
MESIN TIDAK BERFUNGSI;MACHINE BREAKDOWN;SETTINGAN VACUM INJACK TERUBAH;MEMBUAT DAN GANTI MEMBRAN VACUM;ELECTRICAL
MESIN TIDAK BERFUNGSI;MACHINE BREAKDOWN;SLEAVE RUSAK;GANTI SLEAVE;TRIMMER
MESIN TIDAK BERFUNGSI;MACHINE BREAKDOWN;SOLENOID RUSAK/MACET;GANTI SOLENOID;PNEUMATIC
MESIN TIDAK BERFUNGSI;MACHINE BREAKDOWN;SOLENOID RUSAK/MACET;SERVICE/PERBAIKAN SOLENOID;PNEUMATIC
MESIN TIDAK BERFUNGSI;MACHINE BREAKDOWN;SOLENOID VALVE MACET/KOTOR;SERVICE PEMBERSIHAN SELENOID VALVE;PNEUMATIC
MESIN TIDAK BERFUNGSI;MACHINE BREAKDOWN;SOLENOIDE MACET / RUSAK;GANTI / PERBAIKI SOLENOIDE;PNEUMATIC
MESIN TIDAK BERFUNGSI;MACHINE BREAKDOWN;SPEED CONTROL RUSAK / ERROR;SERVICE SPEED CONTROL;MECHANICAL
MESIN TIDAK BERFUNGSI;MACHINE BREAKDOWN;STEPER MOTOR ERROR;SETTING STEPPER MOTOR;ELECTRICAL
MESIN TIDAK BERFUNGSI;MACHINE BREAKDOWN;STOPER LAYER PATAH;PENGELASAN STOPER LAYER;ELECTRICAL
MESIN TIDAK BERFUNGSI;MACHINE BREAKDOWN;SWITCH BUTTON PECAH/RUSAK;GANTI SWITCH BUTTON;ELECTRICAL
MESIN TIDAK BERFUNGSI;MACHINE BREAKDOWN;SWITCH BUTTON RUSAK;SERVICE SWITCH BUTTON;MECHANICAL
MESIN TIDAK BERFUNGSI;MACHINE BREAKDOWN;SWITCH BUTTON RUSAK / PATAH;GANTI SWITCH BUTTON;ELECTRICAL
MESIN TIDAK BERFUNGSI;MACHINE BREAKDOWN;SWITCH ON/OFF KENDOR/RUSAK;SERVICE SWITCH ON/OFF;ELECTRICAL
MESIN TIDAK BERFUNGSI;MACHINE BREAKDOWN;SWITCH ON/OFF RUSAK;GANTI SWITCH ON/OFF;ELECTRICAL
MESIN TIDAK BERFUNGSI;MACHINE BREAKDOWN;SWITCH ON/OFF RUSAK;MODIF/PERBAIKAN SWITCH ON/OFF;ELECTRICAL
MESIN TIDAK BERFUNGSI;MACHINE BREAKDOWN;SWITCH ON/OFF RUSAK;SERVICE/PERBAIKAN TOMBOL SWITCH ON/OFF;ELECTRICAL
MESIN TIDAK BERFUNGSI;MACHINE BREAKDOWN;TEKANAN ANGIN KURANG;MEMPERBAIKI SELANG ANGIN VACUM YANG SOBEK;ELECTRICAL
MESIN TIDAK BERFUNGSI;MACHINE BREAKDOWN;TEKANAN MESIN KURANG;PENAMBAHAN OLI;HYDRAULIC
MESIN TIDAK BERFUNGSI;MACHINE BREAKDOWN;TEKANAN MESIN KURANG;PENAMBAHAN TEKANAN CELENOID VALVE;HYDRAULIC
MESIN TIDAK BERFUNGSI;MACHINE BREAKDOWN;TEMPERATUR CONTROL RUSAK / ERROR;SERVICE TEMPERATUR CONTROL;ELECTRICAL
MESIN TIDAK BERFUNGSI;MACHINE BREAKDOWN;THERMAL OVERLOAD RUSAK;GANTI THERMAL OVERLOAD;ELECTRICAL
MESIN TIDAK BERFUNGSI;MACHINE BREAKDOWN;TIMER RUSAK / ERROR;GANTI TIMER;ELECTRICAL
MESIN TIDAK BERFUNGSI;MACHINE BREAKDOWN;TIMER RUSAK / ERROR;GANTI TIMER;PNEUMATIC
MESIN TIDAK BERFUNGSI;MACHINE BREAKDOWN;TIMER RUSAK / ERROR;SERVICE DAN SETTING ULANG TIMER;ELECTRICAL
MESIN TIDAK BERFUNGSI;MACHINE BREAKDOWN;TIMER RUSAK / ERROR;SETTING TIMER;ELECTRICAL
MESIN TIDAK BERFUNGSI;MACHINE BREAKDOWN;TIMING BELT PUTUS;GANTI TIMING BELT;ELECTRICAL
MESIN TIDAK BERFUNGSI;MACHINE BREAKDOWN;TIMING BELT PUTUS;GANTI TIMING BELT;MECHANICAL
MESIN TIDAK BERFUNGSI;MACHINE BREAKDOWN;TPR RUSAK;GANTI TPR BARU;ELECTRICAL
MESIN TIDAK BERFUNGSI;MACHINE BREAKDOWN;TRAFO TERBAKAR / RUSAK;GANTI TRAFO;ELECTRICAL
MESIN TIDAK BERFUNGSI;MACHINE BREAKDOWN;VACUM TIDAK BERFUNGSI;SETTING MOTOR VACUM;ELECTRICAL
MESIN TIDAK BERFUNGSI;MACHINE BREAKDOWN;VAN BELT PUTUS;GANTI VAN BELT;MECHANICAL
MESIN TIDAK BERFUNGSI;MACHINE BREAKDOWN;V-BELT GOYANG / GESER-GESER;SETTING V-BELT;STITCHING
MESIN TIDAK BERFUNGSI;MACHINE BREAKDOWN;V-BELT RUSAK / LEPAS;GANTI V-BELT;MECHANICAL
MESIN TIDAK BERFUNGSI;MACHINE BREAKDOWN;VERTICAL MOTOR ERROR;SETTING VERTICAL MOTOR;MECHANICAL
MESIN TIDAK STABIL;MACHINE BREAKDOWN;BEARING RUSAK/RUMAH BEARING PECAH;GANTI BEARING;MECHANICAL
MESIN TIDAK STABIL;MACHINE BREAKDOWN;CONNECTING ROAD MIRING;SETTING KEMIRINGAN CONNECTING ROAD;MECHANICAL
MESIN TIDAK STABIL;MACHINE BREAKDOWN;KABEL SOLENOID PUTUS;SAMBUNG KABEL DAN SETTING;ELECTRICAL
MESIN TIDAK STABIL;MACHINE BREAKDOWN;LIMIT SWITCH RUSAK;SERVICE LIMIT SWITCH;ELECTRICAL
MESIN TIDAK STABIL;MACHINE BREAKDOWN;LIMIT SWITCH RUSAK/ERROR;GANTI LIMIT SWITCH;ELECTRICAL
MESIN TIDAK STABIL;MACHINE BREAKDOWN;RELAY RUSAK;SERVICE RELAY;ELECTRICAL
MESIN TIDAK STABIL;MACHINE BREAKDOWN;SETTINGAN KNIFE BERUBAH;SETTING ULANG KNIFE;MECHANICAL
MESIN TIDAK STABIL;MACHINE BREAKDOWN;SWITCH RUSAK;GANTI SWITCH;ELECTRICAL
MESIN TIDAK STABIL;MACHINE BREAKDOWN;SWITCH RUSAK;SERVICE SWITCH;ELECTRICAL
MOLD LAYER UPNORMAL;MACHINE BREAKDOWN;PIN UP-DOWN KENDOR (HAMPIR LEPAS);PERBAIKAN PIN UP-DOWN;PNEUMATIC
MOLD LAYER UPNORMAL;MACHINE BREAKDOWN;STICK SENSOR LEPAS;PASANG KEMBALI STICK SENSOR DAN SETTING SENSOR;ELECTRICAL
MOLD TIDAK BISA IN/OUT;MACHINE BREAKDOWN;AIR CYLINDER RUSAK / ERROR;GANTI CYLINDER;PNEUMATIC
MOLD TIDAK BISA IN/OUT;MACHINE BREAKDOWN;AIR CYLINDER RUSAK / ERROR;SERVICE AIR CYLINDER;HYDRAULIC
MOLD TIDAK BISA IN/OUT;MACHINE BREAKDOWN;AIR CYLINDER RUSAK / ERROR;SERVICE AIR CYLINDER;PNEUMATIC
MOLD TIDAK BISA IN/OUT;MACHINE BREAKDOWN;BANTALAN MOLD RUSAK/BENGKOK;GANTI BANTALAN MOLD;PNEUMATIC
MOLD TIDAK BISA IN/OUT;MACHINE BREAKDOWN;BANTALAN MOLD RUSAK/BENGKOK;SERVICE BANTALAN MOLD;HYDRAULIC
MOLD TIDAK BISA IN/OUT;MACHINE BREAKDOWN;BANTALAN MOLD RUSAK/BENGKOK;SERVICE BANTALAN MOLD;MECHANICAL
MOLD TIDAK BISA IN/OUT;MACHINE BREAKDOWN;BANTALAN MOLD RUSAK/BENGKOK;SERVICE BANTALAN MOLD;PNEUMATIC
MOLD TIDAK BISA IN/OUT;MACHINE BREAKDOWN;BEARING RUSAK;GANTI BEARING;PNEUMATIC
MOLD TIDAK BISA IN/OUT;MACHINE BREAKDOWN;BEARING RUSAK;SERVICE / PEMBERIAN PELUMAS PADA BEARING;MECHANICAL
MOLD TIDAK BISA IN/OUT;MACHINE BREAKDOWN;DUDUKAN STIK SENSOR KENDOR;KECANGKAN DAN SETTING ULANG  DUDUKAN STIK SENSOR;ELECTRICAL
MOLD TIDAK BISA IN/OUT;MACHINE BREAKDOWN;GUIDE MOLD RUSAK;GANTI GUIDE MOLD;HYDRAULIC
MOLD TIDAK BISA IN/OUT;MACHINE BREAKDOWN;GUIDE MOLD RUSAK;SERVICE GUIDE MOLD;HYDRAULIC
MOLD TIDAK BISA IN/OUT;MACHINE BREAKDOWN;GUIDE MOLD RUSAK;SERVICE GUIDE MOLD;MECHANICAL
MOLD TIDAK BISA IN/OUT;MACHINE BREAKDOWN;GUIDE MOLD RUSAK;SERVICE GUIDE MOLD;PNEUMATIC
