problemDowntime;Problem MM;reasonDowntime;actionDowtime;System
JARUM PATAH/BENGKOK;MACHINE BREAKDOWN;BENANG NYANGKUT;SETTING ULANG;STITCHING
JARUM PATAH/BENGKOK;MACHINE BREAKDOWN;JARUM MENTOK OSAY (PRESSURE FOOT);SETTING OSAY (PRESSURE FOOT);STITCHING
JARUM PATAH/BENGKOK;MACHINE BREAKDOWN;SETTIGAN FEED DOG & GAMA BERUBAH;SETTING FEED DOG & GAMA;STITCHING
JARUM PATAH/BENGKOK;MACHINE BREAKDOWN;SETTINGAN HOOK LEPAS;SETTING HOOK;STITCHING
KALIBRASI KNIFE (PISAU) - MM;KNIFE CHANGEOVER;ROUTINE;KALIBRASI KNIFE;MECHANICAL
KNIFE CHANGEOVER - MM;KNIFE CHANGEOVER;PISAU (KNIFE) PATAH / GOMPAL / TUMPUL;GANTI PISAU (KNIFE);MECHANICAL
KUNCIAN SAFETY RUSAK;MACHINE BREAKDOWN;BAUT KUNCIAN DOL / AUS;BOR ULANG BAUT KUNCIAN;SAFETY
LASER TIDAK BERFUNGSI (LASER) - MM;MACHINE BREAKDOWN;CAPASITOR CHILLER RUSAK;GANTI CAPASITOR CHILLER;ELECTRICAL
LASER TIDAK BERFUNGSI (LASER) - MM;MACHINE BREAKDOWN;LASER/PISAU TIDAK POTONG;SETTING LASER;MECHANICAL
LASER TIDAK BERFUNGSI (LASER) - MM;MACHINE BREAKDOWN;LENSA KOTOR;CLEANING LENSA;MECHANICAL
LASER TIDAK BERFUNGSI (LASER) - MM;MACHINE BREAKDOWN;LENSA TIDAK FOKUS;SETTING LENSA;MECHANICAL
LEM TIDAK KELUAR / MAMPET;MACHINE BREAKDOWN;ADA PENUMPUKAN LEM PADA NOZZLE;BERSIHKAN LEM PADA NOZZLE;MELTING
LEM TIDAK KELUAR / MAMPET;MACHINE BREAKDOWN;SETTINGAN NOZZLE RUSAK;SERVICE SETTINGAN NOZZLE;MELTING
